,median_distance_from_centroid,number_hrpl,hrpl_median_distance_from_centroid,number_pvds,pvds_median_distance_from_centroid,total_spots_in_colony,hull_area
0,91.21177895741255,11,33.334073242587515,3,25.03673742231608,43,148580.0
1,115.34430065317818,144,76.09255161634889,60,79.34336260196054,258,173237.50000000003
2,106.19317224461022,8,107.2075154786472,10,79.68497636015087,68,126780.5
3,94.02907507233365,6,124.531257900874,5,135.18033572896678,41,86931.99999999999
4,97.18371431052458,78,77.58570045330444,18,63.564227356438806,134,135536.5
5,95.37148073087569,25,76.80623156738828,17,72.49948870761646,67,91287.5
6,111.09299591138812,33,47.2847248435324,22,41.04885473386191,78,167599.00000000003
7,100.31804085069686,5,87.72135436291462,2,75.48087621354635,23,94988.0
8,96.37897500593762,1,94.25552026016864,2,85.57406390463177,43,115290.49999999999
9,120.91073318180149,61,183.71488510062818,7,208.0772068819472,116,199083.49999999997
10,34.88938247225879,14,30.283448524924662,25,35.05871039986696,50,8127.5
